id,title,source,score,type
5803,"Katekyou Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",Manga,7.53,ONA
5696,Kanin Tokkyuu Michishio,Visual novel,5.7,OVA
5697,Hyakka Ryouran: Samurai Girls,Light novel,6.76,TV
5698,Biohazard 4: Incubate,Game,6.08,OVA
5699,Ai no Senshi Rainbowman,Other,6.31,TV
5700,SD Gundam Sangokuden Brave Battle Warriors,Original,6.28,TV
5701,Toumei Ningen R,Original,6.38,OVA
5702,Inmu Gakuen: Inmu ni Torawareta Bijin Shimai,Visual novel,6.1,OVA
5703,Ojousama wa H ga Osuki: The Animation,Manga,7.13,OVA
5704,Seitokaichou Hikaru,Visual novel,6.12,OVA
5705,Gakuen Saimin Reido,Visual novel,6.66,OVA
5706,Shinshou Genmukan,Visual novel,6.39,OVA
5707,Planzet,Original,5.52,Movie
5710,Magic Kaito,Manga,7.77,TV Special
5711,Tegamibachi Reverse,Manga,7.72,TV
5712,Piece,Original,6.0,Music
5713,Tentai Senshi Sunred: Short Corner,Unknown,6.46,Special
5714,Kawasaki Frontale x Tentai Senshi Sunred,Manga,5.87,Special
5715,Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,Manga,7.4,Special
5716,Pelican Road Club Caroucha,Manga,5.69,OVA
5717,Meitantei Conan Magic File 4: Osaka Okonomiyaki Odyssey,Manga,7.48,OVA
5718,Kudan,Unknown,6.26,Movie
5719,Kodomo no Keijijougaku,Original,5.53,ONA
5720,Hanakappa,Picture book,6.04,TV
5721,Shoka,Original,5.93,TV Special
5722,Kachou no Koi,Manga,6.08,OVA
5804,Hana no Kage,Original,5.81,ONA
5723,Ukkari Pénélope,Picture book,,TV
5724,Ukkari Pénélope OVA,Picture book,,OVA
5725,Tengen Toppa Gurren Lagann: Parallel Works 2,Original,6.89,Music
5726,Ketsuinu,Web manga,,TV
5727,Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu,Original,5.51,Movie
5728,Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha,Unknown,5.36,Movie
5729,Himitsukessha Taka no Tsume The Movie 3: http://takanotsume.jp wa Eien ni,Original,5.54,Movie
5730,Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,4-koma manga,7.02,Movie
5731,Crayon Shin-chan Movie 04: Henderland no Daibouken,Manga,7.33,Movie
5732,Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,Manga,7.13,Movie
5733,Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,Manga,6.79,Movie
5734,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,Manga,7.34,Movie
5735,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,Manga,7.23,Movie
5736,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,Manga,7.16,Movie
5737,Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3-pun Dai Shingeki,Manga,6.67,Movie
5738,Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!,Manga,6.78,Movie
5739,Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,Manga,6.86,Movie
5740,Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,Manga,6.84,Movie
